"UNIQUE_CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","AIR_TIME",
"AA","N3HMAA","44","SEA","JFK",-4.00,8.00,294.00,
"AA","N3BDAA","44","SEA","JFK",-8.00,11.00,292.00,
"AA","N3KJAA","44","SEA","JFK",-2.00,-15.00,277.00,
"AA","N3FWAA","44","SEA","JFK",-8.00,-11.00,294.00,
"AA","N3ESAA","44","SEA","JFK",-2.00,-3.00,296.00,
"AA","N3JDAA","44","SEA","JFK",-7.00,-9.00,294.00,
"AA","N3JXAA","44","SEA","JFK",-6.00,-5.00,297.00,
"AA","N3JYAA","44","SEA","JFK",-9.00,0.00,295.00,
"AA","N3GPAA","44","SEA","JFK",-7.00,9.00,288.00,
"AA","N3HXAA","44","SEA","JFK",1.00,44.00,335.00,
"AA","N3DWAA","44","SEA","JFK",-1.00,-8.00,287.00,
"AA","N3MLAA","44","SEA","JFK",-9.00,-14.00,288.00,
"AA","N3HAAA","44","SEA","JFK",-6.00,-25.00,283.00,
"AA","N3FTAA","44","SEA","JFK",52.00,31.00,274.00,
"AA","N3KAAA","44","SEA","JFK",-6.00,-15.00,285.00,
"AA","N3GMAA","44","SEA","JFK",43.00,26.00,281.00,
"AA","N3LEAA","44","SEA","JFK",-4.00,-27.00,273.00,
"AA","N3HSAA","44","SEA","JFK",-7.00,-19.00,287.00,
"AA","N3JNAA","44","SEA","JFK",-10.00,-25.00,283.00,
"AA","N3KTAA","44","SEA","JFK",-8.00,-21.00,283.00,
"AA","N3BUAA","44","SEA","JFK",344.00,335.00,287.00,
"AA","N3DDAA","44","SEA","JFK",4.00,-3.00,288.00,
"AA","N3MYAA","44","SEA","JFK",-4.00,-23.00,282.00,
"AA","N3CJAA","44","SEA","JFK",-7.00,-29.00,274.00,
"AA","N3CEAA","44","SEA","JFK",-10.00,-25.00,285.00,
"AA","N3MRAA","44","SEA","JFK",-5.00,-16.00,280.00,
"AA","N3KRAA","44","SEA","JFK",-6.00,-27.00,273.00,
"AA","N3MWAA","45","JFK","SEA",-6.00,-25.00,324.00,
"AA","N3KPAA","45","JFK","SEA",64.00,56.00,334.00,
"AA","N3AEAA","45","JFK","SEA",31.00,56.00,337.00,
"AA","N3FXAA","45","JFK","SEA",46.00,37.00,326.00,
"AA","N3JUAA","45","JFK","SEA",6.00,-18.00,327.00,
"AA","N3LBAA","45","JFK","SEA",2.00,-25.00,327.00,
"AA","N3JBAA","45","JFK","SEA",0.00,-25.00,323.00,
"AA","N3NAAA","45","JFK","SEA",-8.00,-46.00,314.00,
"AA","N3HXAA","45","JFK","SEA",60.00,34.00,317.00,
"AA","N3ADAA","45","JFK","SEA",122.00,93.00,320.00,
"AA","N3APAA","45","JFK","SEA",2.00,8.00,355.00,
"AA","N3BVAA","45","JFK","SEA",44.00,70.00,378.00,
"AA","N3GDAA","45","JFK","SEA",7.00,29.00,362.00,
"AA","N3MUAA","45","JFK","SEA",0.00,14.00,350.00,
"AA","N3GBAA","45","JFK","SEA",-3.00,-9.00,335.00,
"AA","N3DVAA","45","JFK","SEA",61.00,66.00,333.00,
"AA","N3GHAA","45","JFK","SEA",-2.00,-11.00,343.00,
"AA","N3ABAA","45","JFK","SEA",3.00,10.00,344.00,
"AA","N3JRAA","45","JFK","SEA",0.00,-2.00,354.00,
"AA","N3EAAA","45","JFK","SEA",-5.00,-10.00,340.00,
"AA","N3DXAA","45","JFK","SEA",14.00,-3.00,335.00,
"AA","N3MYAA","45","JFK","SEA",-4.00,0.00,357.00,
"AA","N3JVAA","45","JFK","SEA",18.00,18.00,350.00,
"AA","N3CEAA","45","JFK","SEA",1.00,-4.00,342.00,
"AA","N3BWAA","45","JFK","SEA",-1.00,-5.00,339.00,
"AA","N3JSAA","45","JFK","SEA",-4.00,-21.00,340.00,
"AA","N3CEAA","45","JFK","SEA",-2.00,-22.00,335.00,
"AA","N3KNAA","18","SEA","DFW",42.00,55.00,209.00,
"AA","N3MPAA","41","ORD","SEA",3.00,-33.00,224.00,
"AA","N3EXAA","41","ORD","SEA",17.00,2.00,228.00,
"AA","N3KMAA","41","ORD","SEA",21.00,8.00,244.00,
"AA","N3BMAA","41","ORD","SEA",12.00,-17.00,229.00,
"AA","N3JXAA","41","ORD","SEA",-4.00,-41.00,224.00,
"AA","N3CXAA","41","ORD","SEA",0.00,-33.00,225.00,
"AA","N3DXAA","41","ORD","SEA",-4.00,-24.00,223.00,
"AA","N3DHAA","41","ORD","SEA",47.00,17.00,225.00,
"AA","N3EKAA","41","ORD","SEA",2.00,-20.00,234.00,
"AA","N3HBAA","41","ORD","SEA",11.00,15.00,250.00,
"AA","N3HAAA","41","ORD","SEA",-2.00,-14.00,245.00,
"AA","N3KEAA","41","ORD","SEA",-2.00,-19.00,242.00,
"AA","N3EGAA","41","ORD","SEA",-2.00,-10.00,246.00,
"AA","N3JKAA","41","ORD","SEA",1.00,-19.00,240.00,
"AA","N3KKAA","41","ORD","SEA",5.00,-8.00,237.00,
"AA","N3KDAA","41","ORD","SEA",12.00,14.00,254.00,
"AA","N3AGAA","41","ORD","SEA",47.00,49.00,264.00,
"AA","N3KYAA","41","ORD","SEA",-8.00,-24.00,239.00,
"AA","N3FCAA","41","ORD","SEA",-5.00,-24.00,240.00,
"AA","N3GKAA","41","ORD","SEA",-4.00,-19.00,243.00,
"AA","N3ERAA","41","ORD","SEA",2.00,-15.00,239.00,
"AA","N3DGAA","41","ORD","SEA",-10.00,-27.00,239.00,
"AA","N3CSAA","41","ORD","SEA",18.00,-1.00,230.00,
"AA","N3CUAA","41","ORD","SEA",-1.00,-19.00,229.00,
"AA","N3CVAA","41","ORD","SEA",0.00,-22.00,233.00,
"AA","N3JKAA","41","ORD","SEA",10.00,9.00,244.00,
"AA","N3GFAA","41","ORD","SEA",55.00,42.00,242.00,
"AA","N3LAAA","41","ORD","SEA",-2.00,-9.00,243.00,
"AA","N3HBAA","41","ORD","SEA",-3.00,-26.00,234.00,
"AA","N3BHAA","41","ORD","SEA",10.00,-5.00,231.00,
"AA","N3MAAA","42","SEA","ORD",-4.00,7.00,230.00,
"AA","N3LUAA","42","SEA","ORD",-7.00,-14.00,209.00,
"AA","N3LRAA","42","SEA","ORD",-5.00,-2.00,212.00,
"AA","N3LNAA","42","SEA","ORD",-2.00,8.00,214.00,
"AA","N3LGAA","42","SEA","ORD",-5.00,-11.00,213.00,
"AA","N3MFAA","42","SEA","ORD",-6.00,-14.00,208.00,
"AA","N3LLAA","42","SEA","ORD",0.00,4.00,219.00,
"AA","N3LUAA","42","SEA","ORD",-2.00,-1.00,207.00,
"AA","N3LDAA","42","SEA","ORD",-5.00,1.00,205.00,
"AA","N3LUAA","42","SEA","ORD",19.00,15.00,207.00,
"AA","N3LVAA","42","SEA","ORD",-5.00,-27.00,197.00,
"AA","N3LHAA","42","SEA","ORD",-2.00,-10.00,197.00,
"AA","N3LGAA","42","SEA","ORD",-4.00,-18.00,198.00,
"AA","N3LFAA","42","SEA","ORD",-3.00,-11.00,204.00,
"AA","N3KVAA","42","SEA","ORD",-2.00,-25.00,198.00,
"AA","N3MHAA","42","SEA","ORD",-6.00,-29.00,191.00,
"AA","N3ELAA","42","SEA","ORD",-2.00,-20.00,195.00,
"AA","N3LWAA","42","SEA","ORD",-7.00,-20.00,198.00,
"AA","N3LNAA","42","SEA","ORD",-6.00,-13.00,207.00,
"AA","N3MJAA","42","SEA","ORD",-7.00,-12.00,208.00,
"AA","N3LYAA","42","SEA","ORD",-4.00,-4.00,212.00,
"AA","N3MAAA","42","SEA","ORD",-6.00,-20.00,204.00,
"AA","N3MEAA","42","SEA","ORD",-3.00,-11.00,206.00,
"AA","N3MJAA","42","SEA","ORD",-8.00,-13.00,213.00,
"AA","N3LRAA","42","SEA","ORD",-9.00,-17.00,212.00,
"AA","N3MKAA","42","SEA","ORD",-7.00,-25.00,203.00,
"AA","N3MDAA","42","SEA","ORD",-5.00,-10.00,210.00,
"AA","N3LDAA","42","SEA","ORD",-7.00,-29.00,194.00,
"AA","N3LVAA","42","SEA","ORD",-11.00,-30.00,198.00,
"AA","N3LXAA","42","SEA","ORD",-3.00,-12.00,204.00,
"AA","N3AUAA","184","DFW","SEA",1.00,-36.00,204.00,
"AA","N3KNAA","184","DFW","SEA",53.00,37.00,217.00,
"AA","N3JJAA","184","DFW","SEA",0.00,-15.00,225.00,
"AA","N3BDAA","134","MIA","SEA",11.00,-7.00,351.00,
"AA","N3JVAA","134","MIA","SEA",5.00,-12.00,357.00,
"AA","N3FWAA","134","MIA","SEA",77.00,51.00,366.00,
"AA","N3HJAA","134","MIA","SEA",88.00,64.00,345.00,
"AA","N3ENAA","134","MIA","SEA",37.00,0.00,347.00,
"AA","N3JKAA","134","MIA","SEA",-3.00,-49.00,336.00,
"AA","N3CLAA","134","MIA","SEA",51.00,13.00,335.00,
"AA","N3GPAA","134","MIA","SEA",4.00,-8.00,363.00,
"AA","N3MVAA","134","MIA","SEA",4.00,7.00,380.00,
"AA","N3DWAA","134","MIA","SEA",61.00,26.00,361.00,
"AA","N3MLAA","134","MIA","SEA",-1.00,-13.00,382.00,
"AA","N3FYAA","134","MIA","SEA",-5.00,-13.00,374.00,
"AA","N3LBAA","134","MIA","SEA",0.00,8.00,373.00,
"AA","N3DAAA","134","MIA","SEA",-2.00,-22.00,364.00,
"AA","N3MRAA","134","MIA","SEA",24.00,33.00,387.00,
"AA","N3HVAA","134","MIA","SEA",133.00,125.00,382.00,
"AA","N3LEAA","134","MIA","SEA",16.00,32.00,401.00,
"AA","N3KCAA","134","MIA","SEA",8.00,23.00,388.00,
"AA","N3KTAA","134","MIA","SEA",-7.00,2.00,379.00,
"AA","N3GUAA","134","MIA","SEA",-3.00,0.00,381.00,
"AA","N3JHAA","134","MIA","SEA",-6.00,-26.00,369.00,
"AA","N3JXAA","134","MIA","SEA",1.00,-23.00,365.00,
"AA","N3GMAA","134","MIA","SEA",11.00,-14.00,373.00,
"AA","N3DVAA","134","MIA","SEA",5.00,-26.00,353.00,
"AA","N3GRAA","134","MIA","SEA",12.00,26.00,392.00,
"AA","N3CBAA","134","MIA","SEA",0.00,-9.00,369.00,
"AA","N3DYAA","134","MIA","SEA",-5.00,-27.00,365.00,
"AA","N3HYAA","134","MIA","SEA",42.00,24.00,368.00,
"AA","N3MPAA","134","MIA","SEA",-7.00,6.00,371.00,
"AA","N3KRAA","134","MIA","SEA",-2.00,-17.00,377.00,
"AA","N3GBAA","134","MIA","SEA",2.00,-25.00,358.00,
"AA","N3HAAA","143","SEA","DFW",5.00,23.00,204.00,
"AA","N3MPAA","143","SEA","DFW",-7.00,5.00,204.00,
"AA","N3APAA","143","SEA","DFW",32.00,19.00,200.00,
"AA","N3EFAA","143","SEA","DFW",7.00,17.00,211.00,
"AA","N3HJAA","143","SEA","DFW",-5.00,-15.00,198.00,
"AA","N3ENAA","143","SEA","DFW",-3.00,0.00,207.00,
"AA","N3JFAA","143","SEA","DFW",-5.00,-12.00,200.00,
"AA","N3ESAA","143","SEA","DFW",0.00,8.00,203.00,
"AA","N3DXAA","143","SEA","DFW",-2.00,22.00,203.00,
"AA","N3FJAA","143","SEA","DFW",-6.00,-8.00,204.00,
"AA","N3EKAA","143","SEA","DFW",-9.00,-14.00,207.00,
"AA","N3APAA","143","SEA","DFW",-3.00,-7.00,197.00,
"AA","N3AHAA","143","SEA","DFW",-7.00,-5.00,205.00,
"AA","N3LBAA","143","SEA","DFW",-8.00,-8.00,194.00,
"AA","N3EFAA","143","SEA","DFW",14.00,1.00,190.00,
"AA","N3KEAA","143","SEA","DFW",-7.00,-5.00,194.00,
"AA","N3DLAA","143","SEA","DFW",-8.00,-14.00,189.00,
"AA","N3GGAA","143","SEA","DFW",-3.00,-9.00,198.00,
"AA","N3JUAA","143","SEA","DFW",41.00,23.00,187.00,
"AA","N3KTAA","143","SEA","DFW",-6.00,-8.00,188.00,
"AA","N3ALAA","143","SEA","DFW",-9.00,12.00,206.00,
"AA","N3EAAA","143","SEA","DFW",-6.00,-7.00,201.00,
"AA","N3FMAA","143","SEA","DFW",-5.00,-10.00,201.00,
"AA","N3HTAA","143","SEA","DFW",-5.00,-8.00,199.00,
"AA","N3CJAA","143","SEA","DFW",-6.00,-20.00,198.00,
"AA","N3ERAA","143","SEA","DFW",36.00,32.00,204.00,
"AA","N3DCAA","143","SEA","DFW",4.00,10.00,199.00,
"AA","N3BAAA","143","SEA","DFW",-5.00,6.00,209.00,
"AA","N3HYAA","143","SEA","DFW",1.00,-14.00,187.00,
"AA","N3KEAA","143","SEA","DFW",-5.00,-24.00,189.00,
"AA","N3EKAA","143","SEA","DFW",-3.00,-26.00,187.00,
"AA","N3CDAA","184","DFW","SEA",101.00,79.00,216.00,
"AA","N3JFAA","184","DFW","SEA",-4.00,-33.00,208.00,
"AA","N3ESAA","184","DFW","SEA",103.00,76.00,216.00,
"AA","N3KMAA","184","DFW","SEA",95.00,81.00,210.00,
"AA","N3FTAA","184","DFW","SEA",0.00,-12.00,223.00,
"AA","N3CXAA","184","DFW","SEA",1.00,-21.00,221.00,
"AA","N3FLAA","184","DFW","SEA",3.00,-14.00,226.00,
"AA","N3CYAA","184","DFW","SEA",-3.00,-9.00,239.00,
"AA","N3EUAA","184","DFW","SEA",-5.00,-22.00,223.00,
"AA","N3EFAA","184","DFW","SEA",46.00,38.00,230.00,
"AA","N3KEAA","184","DFW","SEA",10.00,12.00,240.00,
"AA","N3BMAA","184","DFW","SEA",156.00,165.00,243.00,
"AA","N3GGAA","184","DFW","SEA",2.00,-9.00,234.00,
"AA","N3HSAA","184","DFW","SEA",-3.00,-14.00,230.00,
"AA","N3JNAA","184","DFW","SEA",-4.00,-1.00,235.00,
"AA","N3KTAA","184","DFW","SEA",2.00,8.00,243.00,
"AA","N3ANAA","184","DFW","SEA",29.00,22.00,230.00,
"AA","N3JKAA","184","DFW","SEA",0.00,3.00,238.00,
"AA","N3ARAA","184","DFW","SEA",-6.00,-17.00,227.00,
"AA","N3MNAA","184","DFW","SEA",-1.00,-13.00,228.00,
"AA","N3GYAA","184","DFW","SEA",15.00,7.00,233.00,
"AA","N3DCAA","184","DFW","SEA",18.00,8.00,227.00,
"AA","N3BAAA","184","DFW","SEA",13.00,21.00,231.00,
"AA","N3DUAA","184","DFW","SEA",-4.00,-15.00,223.00,
"AA","N3JKAA","184","DFW","SEA",-1.00,17.00,253.00,
"AA","N3EKAA","184","DFW","SEA",-3.00,-14.00,232.00,
"AA","N3GWAA","184","DFW","SEA",-3.00,-11.00,234.00,
"AA","N3NAAA","1070","SEA","MIA",-4.00,-5.00,319.00,
"AA","N3LSAA","1070","SEA","MIA",-2.00,4.00,316.00,
"AA","N3AEAA","1070","SEA","MIA",45.00,51.00,316.00,
"AA","N3FXAA","1070","SEA","MIA",2.00,14.00,326.00,
"AA","N3KNAA","1070","SEA","MIA",-2.00,3.00,320.00,
"AA","N3LBAA","1070","SEA","MIA",-12.00,3.00,326.00,
"AA","N3EJAA","1070","SEA","MIA",-7.00,-16.00,307.00,
"AA","N3DYAA","1070","SEA","MIA",11.00,27.00,324.00,
"AA","N3DUAA","1070","SEA","MIA",-7.00,-13.00,308.00,
"AA","N3HAAA","1070","SEA","MIA",-1.00,-1.00,314.00,
